,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
78,FRKT2,32.769,-101.43439,746.4552,GAIL RAWS,TX,40794,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
79,EMNT2,30.0305,-103.47319,1364.2848000000001,ELEPHANT MTN WMA RAWS,TX,40795,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
80,TT412,31.42325,-110.4195,1777.8984,CORONADO-SV PORTABLE #1,AZ,60097,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
81,TT418,33.66003,-110.5613,2014.4232000000002,TONTO PORTABLE #2,AZ,60806,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
82,TT482,33.55531,-111.6145,416.6616,GOLDFIELD,AZ,63264,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
83,WDPT2,30.64608,-104.13661,2153.1072,WOLF DEN DMP,TX,71532,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
84,SFXN5,35.00406,-106.41148,1926.6408000000001,SANDIA LAB,NM,71721,Campbell Scientific - CR1000 (CR1K),Department of Energy,Other
85,MGFNM,35.359,-108.505,2479.8528,McGaffey,NM,113070,,,
86,TT712,36.41461,-105.55689,2174.748,TAOS PUEBLO RAWS,NM,171615,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
87,RGET2,29.18583,-102.96308,566.928,BIBE RGV,TX,217399,Forest Technology System - F6 (F6),National Park Service,Depot BLM
88,TR931,34.14944,-105.00597,1569.72,ROSWELL #2 PORTABLE,NM,6457,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Depot BLM
89,RESN5,33.71489,-108.777,1781.8608000000002,RESERVE,NM,28329,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
90,TR489,34.68847,-111.34278,2055.2664,COCONINO MICRO #4,AZ,3987,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
91,TS967,32.50661,-110.20631,1466.088,CORONADO PORTABLE #3,AZ,29962,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
92,TT106,32.94858,-108.10174,2261.616,GILA QD2,NM,32018,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
93,BDAN5,33.821,-106.88189,1357.884,BOSQUE,NM,2140,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
94,TT762,34.0899,-111.8465,1059.7896,CAVE CREEK,AZ,180637,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
95,TR073,33.37262,-110.45731,868.9848000000001,AZSCA_PORT1,AZ,3203,Forest Technology System - F6 (F6),Bureau of Indian Affairs,Portable Return BLM
96,TS677,36.34299,-106.66324,1975.104,SANTA FE PORTABLE,NM,21328,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
97,TS123,32.58083,-104.69083,1292.352,CARLSBAD PORTABLE,NM,8912,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
98,TS636,34.94145,-113.83663,1536.192,YUMA QD,AZ,16990,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
99,TT030,36.25791,-112.0032,2514.2952,IRAWS 27 (POINT IMPERIAL),AZ,30930,,,
100,TS055,33.78725,-107.47213,2950.1592,SOCORRO PORTABLE #1,NM,8298,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
101,THHC1,36.33472,-112.2607,2482.9008000000003,IRAWS 39 (SWAMP RIDGE),AZ,30946,,,
102,TT046,36.59095,-111.9907,1658.112,IRAWS 40 (HOUSE ROCK),AZ,30947,,,
103,TT417,33.81232,-110.90799,2361.8952,TONTO PORTABLE #1,AZ,60805,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
104,TR487,34.19145,-105.72613,2218.944,CIBOLA PORTABLE #1,NM,3985,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
105,TS286,32.96472,-105.47778,2243.328,LINCOLN PORTABLE #2,NM,10979,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
106,TS645,29.59328,-103.26248,865.3272000000001,BIG BEND QD #1,TX,17638,Forest Technology System - FWS12S (F12S),National Park Service,Depot BLM
107,QPIA3,35.42578,-111.73789,2431.3896,COCONINO MICRO #5,AZ,8819,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
108,TR491,35.91457,-111.90671,2229.3072,KAIBAB-TUS MICRO #2,AZ,3989,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
109,TMPG8,29.3275,-103.2075,1143.0,PANTHER JUNCTION,TX,25183,Forest Technology System - F6 (F6),National Park Service,Depot BLM
110,TR490,36.1925,-111.9455,2545.08,KAIBAB-NK MICRO #1,AZ,3988,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
111,TT766,34.39383,-111.98769,1237.488,JACKALOPE PORTABLE,AZ,196343,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
112,TS801,35.52556,-106.59361,1959.864,NMSPA_PORT1,NM,24930,Forest Technology System - F6 (F6),Bureau of Indian Affairs,Portable Return BLM
113,TR868,32.91935,-108.1507,2658.4656,GILA QD1,NM,6279,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
114,TT500,33.86422,-111.46814,1042.416,AZ01 QD,AZ,64466,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
115,TT702,32.4264,-104.89363,1621.536,CARLSBAD PORTABLE #2,NM,170682,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
